mx,my,mw,mh
1431,430,602,594
1424,472,615,613
1417,513,633,640
1407,549,640,638
1402,586,679,681
1384,650,654,654
1381,684,643,639
1372,715,624,629
1362,745,645,652
1358,768,634,629
1349,789,649,657
1345,811,665,660
1338,825,684,690
1327,848,703,706
1325,864,715,734
1316,880,736,732
1314,893,743,752
1304,900,763,771
1296,900,773,764
1291,913,794,788
1283,919,803,799
1273,927,832,835
1267,931,843,841
1261,934,866,860
1253,937,873,876
1244,927,894,892
1239,926,902,918
1233,926,921,923
1224,917,942,948
